player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Anthony Johnson Jr.,76736,S,NYG,2,2,5.0,0.0,83.3,,10.0,0,0,0,0.0,21,74.1,67.2,73.5,71.9,43.2,42.7,0,,0.0,0,0,0,39.6,0,10,12,0,0,1,0,0,0,0.0,
Xavier Thomas,76807,ED,ARZ,14,1,4.8,100.0,17.3,5.4,5.4,0,0,0,0.0,1,27.9,39.4,53.8,54.5,53.4,40.7,0,20,50.0,2,0,1,108.3,5,27,156,3,1,5,0,50,26,1.9,10.0
KJ Henry,76808,ED,DAL,4,0,,,3.4,,,0,0,0,,9,60.0,56.5,80.8,65.5,46.6,70.6,0,,,0,0,0,0.0,0,1,29,1,0,0,0,0,0,0.0,
Tyler Lacy,76836,DI,JAX,13,1,,,1.1,,,1,0,0,,15,59.5,45.2,65.8,50.4,47.0,66.5,0,,25.0,1,0,1,0.0,0,2,178,0,2,0,0,0,0,0.0,
Ochaun Mathis,76838,ED,PHI,2,0,,,12.5,,,0,0,0,,24,60.0,56.0,73.4,52.6,60.8,69.9,0,,,0,0,0,0.0,0,1,8,0,0,0,0,0,0,0.0,
Will McDonald IV,76842,ED,NYJ,17,0,,,3.8,,,1,0,0,,22,60.1,59.4,46.2,73.9,39.5,28.7,0,,83.3,5,0,5,0.0,0,18,480,11,1,0,0,0,0,0.0,
Jalen Redmond,76861,DI,MIN,12,0,,,0.9,,,0,0,0,,18,65.7,77.2,82.9,64.5,73.0,58.4,0,,0.0,0,0,1,0.0,0,1,106,4,4,0,0,0,0,0.0,
Greg Rousseau,76889,ED,BUF,16,1,6.4,80.0,4.8,5.3,4.2,0,0,0,0.0,4,66.6,83.1,80.7,81.9,67.0,34.6,0,14,40.0,6,0,1,103.3,4,23,484,13,8,5,0,44,16,2.1,11.0
Travis Jones,76914,DI,BLT,16,0,,,0.8,,,0,0,0,,3,61.1,71.3,51.5,65.7,73.2,65.5,0,,33.3,1,0,3,0.0,0,3,400,2,2,0,0,0,0,0.0,
Logan Hall,76919,DI,TB,16,1,,,1.5,,,0,0,0,,30,64.1,58.1,73.4,59.3,54.1,59.0,0,,25.0,1,0,1,0.0,0,5,335,6,2,0,0,0,0,0.0,
Karl Brooks,76941,DI,GB,17,2,,,2.0,,,0,0,0,,12,74.4,58.8,85.6,59.8,37.0,40.5,0,,22.2,2,0,0,0.0,0,6,293,9,5,0,0,0,0,0.0,
Braden Fiske,76958,DI,LA,17,2,8.0,100.0,0.9,4.0,4.0,1,0,1,100.0,26,67.1,56.5,53.6,67.2,40.0,28.9,0,11,38.5,5,0,3,112.5,1,4,437,14,6,1,0,11,3,2.8,11.0
Alim McNeill,76996,DI,DET,14,0,,,1.3,,,0,0,0,,11,71.8,79.6,87.4,77.1,64.5,53.2,0,,33.3,1,0,0,0.0,0,6,445,5,2,0,0,0,0,0.0,
Amari Gainer,77091,ED,LV,2,0,,,16.7,,,0,0,0,,23,60.0,39.0,72.4,53.2,44.1,70.5,0,,,0,0,0,0.0,0,1,6,0,0,0,0,0,0,0.0,
Yasir Abdullah,77100,LB,JAX,12,0,0.0,100.0,21.7,23.0,23.0,0,0,0,0.0,15,57.0,56.6,83.0,54.2,60.9,71.7,0,8,16.7,1,0,0,100.0,1,25,115,3,5,1,0,8,8,0.3,8.0
Shaka Heyward,77120,LB,CIN,1,0,-6.0,0.0,100.0,,2.0,0,0,0,0.0,7,69.1,93.4,69.9,,87.1,78.9,0,,,0,0,0,39.6,0,2,2,0,0,1,0,0,0,0.0,
Payton Wilson,77127,LB,PIT,17,9,2.8,82.9,89.3,8.5,7.0,0,0,0,0.0,25,76.0,74.7,83.8,66.4,63.4,69.9,1,21,13.3,6,0,0,80.8,34,310,347,12,30,41,0,239,212,0.8,7.0
Zaven Collins,77190,ED,ARZ,17,1,2.1,92.3,23.9,6.8,6.3,0,0,0,0.0,1,66.0,71.5,33.5,60.3,84.3,55.0,0,29,14.3,2,0,4,105.4,12,91,380,8,11,13,0,121,96,1.5,10.1
Brian Asamoah II,77195,LB,MIN,3,0,5.5,100.0,51.9,3.5,3.5,0,0,0,0.0,18,28.0,29.2,76.5,73.8,42.6,35.9,0,14,0.0,0,0,1,116.7,4,14,27,0,2,4,0,48,26,3.4,12.0
Nik Bonitto,77196,ED,DEN,17,2,3.3,50.0,14.3,21.7,10.8,2,0,1,16.7,10,92.6,77.5,16.7,74.4,60.0,31.3,1,14,41.7,5,1,7,25.0,3,68,474,16,5,6,0,30,13,0.5,10.0
Joseph Ossai,77205,ED,CIN,17,4,-5.0,100.0,8.6,11.0,11.0,0,0,0,0.0,7,59.0,58.3,76.7,58.0,57.0,44.0,0,12,14.3,2,0,1,100.0,3,33,382,6,8,3,0,24,39,0.7,8.0
Dyontae Johnson,77568,LB,NYG,1,1,6.1,87.5,85.7,2.6,2.3,0,0,0,0.0,21,42.6,48.8,73.7,56.3,65.7,82.1,0,19,0.0,0,0,0,103.1,7,18,21,2,6,8,0,70,33,3.9,10.0
Jarrick Bernard-Converse,77841,CB,NYJ,2,0,,,100.0,,,0,0,0,,22,65.0,67.1,69.1,,60.7,73.3,0,,,0,0,0,0.0,0,5,5,0,0,0,0,0,0,0.0,
Tre'von Moehrig,77847,S,LV,17,11,6.4,71.2,90.5,15.3,10.9,0,0,3,5.8,23,54.4,67.5,69.1,70.1,87.5,81.9,2,35,6.1,3,3,1,105.8,37,608,672,7,35,52,5,354,177,0.6,9.6
Ar'Darius Washington,77848,S,BLT,17,7,9.4,66.7,96.9,14.3,9.5,0,3,7,14.6,3,84.2,80.3,84.1,50.8,64.0,61.4,2,67,8.9,4,7,0,104.7,32,498,514,11,34,48,5,342,124,0.7,10.7
Shemar Bartholomew,78995,CB,CAR,1,0,11.8,60.0,100.0,5.0,3.0,0,0,1,20.0,5,53.7,55.5,73.5,,60.0,76.9,0,20,0.0,0,0,0,113.3,3,15,15,2,2,5,1,26,1,1.7,8.7
Cobie Durant,79126,CB,LA,14,4,12.2,57.4,98.9,13.6,7.8,1,1,8,14.8,26,61.0,63.7,86.1,93.2,59.7,35.6,1,36,16.7,5,5,1,80.9,31,449,454,4,21,54,2,342,103,0.8,11.0
Christian Benford,79181,CB,BUF,15,4,10.5,60.8,99.3,17.8,10.8,1,1,8,15.7,4,82.8,82.6,88.6,71.0,69.3,86.7,2,23,5.0,2,5,5,72.3,31,584,588,9,34,51,2,279,112,0.5,9.0
Nick Hampton,81162,ED,LA,3,0,,,25.0,,,0,0,0,,26,60.0,77.3,73.0,69.2,63.9,,0,,,0,0,0,0.0,0,1,4,0,0,0,0,0,0,0.0,
Cam Jones,81244,LB,KC,2,1,0.5,100.0,94.9,8.8,8.8,0,0,0,0.0,16,55.5,54.4,77.2,55.5,57.1,54.3,0,25,25.0,2,0,0,157.3,4,37,39,1,5,4,1,49,47,1.4,12.3
Micah McFadden,81246,LB,NYG,14,7,5.1,86.5,88.9,8.8,7.6,1,0,1,2.7,21,53.5,62.8,55.4,79.6,66.0,53.4,0,31,15.6,7,1,1,109.2,32,297,334,13,31,37,1,298,162,1.1,9.3
Damone Clark,81282,LB,DAL,7,1,8.1,28.6,95.3,29.5,8.4,0,0,1,14.3,9,60.0,68.2,79.9,72.2,68.3,69.0,0,9,0.0,0,1,0,39.6,2,61,64,3,7,7,0,15,6,0.3,7.5
Nathaniel Watson,81317,LB,CLV,4,0,7.0,50.0,89.5,16.0,8.0,0,0,1,50.0,8,68.0,66.2,75.9,58.1,61.7,28.7,0,14,100.0,1,1,0,72.9,1,17,19,0,0,2,0,14,13,0.9,14.0
Nick Bolton,81322,LB,KC,16,6,4.2,83.0,83.1,10.8,9.0,0,1,5,9.4,16,66.1,65.4,65.9,51.6,67.1,56.0,1,49,16.1,9,3,1,103.4,44,508,611,14,41,53,2,407,269,0.9,9.3
Dylan Horton,81335,ED,HST,13,0,,,2.5,,,0,0,0,,13,61.1,60.7,87.1,47.3,70.7,78.2,0,,0.0,0,0,0,0.0,0,3,118,0,2,0,0,0,0,0.0,
Micah Parsons,81360,ED,DAL,13,1,-3.0,100.0,5.3,7.7,7.7,1,0,0,0.0,9,76.9,90.0,14.4,91.6,65.5,61.0,0,17,40.0,4,0,8,105.6,3,24,451,15,5,3,0,28,37,1.2,9.3
Jesse Luketa,81361,ED,ARZ,10,0,-0.8,80.0,32.7,7.8,6.2,0,0,0,0.0,1,51.2,70.0,82.8,56.8,84.2,55.8,0,18,50.0,1,0,0,131.3,4,36,110,4,1,5,1,30,36,1.0,7.5
Ernest Jones,81399,LB,SEA,16,9,5.0,81.1,85.3,11.3,9.2,0,1,2,3.8,29,48.5,60.7,86.7,59.6,73.6,71.1,1,37,7.4,4,1,0,100.2,43,522,612,14,41,53,1,447,254,0.9,10.4
Edefuan Ulofoshio,81459,LB,BUF,1,1,9.7,57.1,86.5,7.3,4.1,0,0,1,14.3,4,69.1,69.7,73.8,51.8,67.4,28.9,0,12,16.7,1,1,0,63.4,4,32,37,2,4,7,0,23,12,0.8,5.8
