"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Arian Smith","NYJ","11.2","134.3","0.7","0.0","3.5","0.0","0.0","29.0"
"Savion Williams","GB","9.1","104.8","0.8","4.4","16.4","0.1","0.0","26.5"
"Chris Blair","ATL","9.4","106.2","0.7","0.0","0.0","0.0","0.0","24.4"
"Olamide Zaccheaus","CHI","9.4","100.6","0.7","1.1","6.0","0.0","0.1","24.3"
"Mack Hollins","NE","8.2","102.1","0.8","0.0","1.7","0.0","0.0","23.3"
"Tylan Wallace","BAL","6.7","87.6","0.9","0.0","1.7","0.0","0.0","20.9"
"Hunter Renfrow","CAR","9.3","91.4","0.4","0.0","0.0","0.0","0.0","20.8"
"Simi Fehoko","ARI","7.6","91.6","0.7","0.0","0.0","0.0","0.0","20.7"
"Sterling Shepard","TB","7.7","80.3","0.5","0.8","7.0","0.0","0.0","19.6"
"Tim Jones","MIN","7.4","83.2","0.6","0.0","0.0","0.0","0.1","19.4"
"Cedrick Wilson Jr.","NO","7.1","78.2","0.5","0.0","2.0","0.0","0.0","18.2"
"Jamal Agnew","ATL","7.1","73.5","0.6","0.0","0.0","0.0","0.1","17.9"
"KeAndre Lambert-Smith","LAC","5.9","77.7","0.6","0.0","3.0","0.0","0.0","17.3"
"Bo Melton","GB","6.2","73.8","0.6","0.0","0.0","0.0","0.0","16.9"
"Ben Skowronek","PIT","6.5","72.1","0.5","0.0","0.0","0.0","0.0","16.8"
"Maurice Alexander","CHI","6.4","70.4","0.4","0.0","0.0","0.0","0.0","15.9"
"Devontez Walker","BAL","4.9","67.3","0.6","0.0","1.7","0.0","0.0","15.6"
"Irvin Charles","NYJ","6.2","66.0","0.4","0.0","0.0","0.0","0.0","15.4"
"John Metchie III","PHI","6.3","69.0","0.3","0.0","0.0","0.0","0.0","15.0"
"David Moore","CAR","5.9","73.4","0.3","0.0","0.0","0.0","0.0","14.9"
"Malik Heath","GB","5.5","62.1","0.5","0.0","0.0","0.0","0.0","14.4"
"Xavier Weaver","ARI","5.2","61.4","0.5","0.0","0.0","0.0","0.0","14.2"
"Tommy Mellott","LV","3.7","43.6","0.2","4.0","24.1","0.2","0.0","12.6"
"Dante Pettis","NO","4.0","46.4","0.2","2.1","9.7","0.0","0.0","10.8"
"Derius Davis","LAC","2.8","31.2","0.1","10.5","35.4","0.2","0.6","10.4"
"Tez Johnson","TB","4.0","49.3","0.2","0.0","0.0","0.0","0.0","10.3"
"Kendric Pryor","CIN","3.9","42.8","0.3","0.0","0.0","0.0","0.0","10.2"
"Jonathan Mingo","DAL","3.9","48.6","0.2","0.0","0.0","0.0","0.0","9.8"
"Tyquan Thornton","KC","3.4","45.9","0.3","0.0","0.0","0.0","0.0","9.8"
"Trishton Jackson","ARI","3.4","40.7","0.3","0.0","0.0","0.0","0.0","9.5"
"Xavier Gipson","NYJ","4.2","54.3","0.0","0.0","2.5","0.0","0.5","9.1"
"Justin Watson","HOU","3.4","45.1","0.2","0.0","0.0","0.0","0.0","9.1"
"Jalen Brooks","DAL","3.4","39.4","0.2","0.0","0.0","0.0","0.0","8.8"
"Charlie Jones","CIN","3.4","39.6","0.2","0.0","1.7","0.0","0.0","8.8"
"Jordan Watkins","SF","2.6","32.7","0.1","4.4","15.8","0.1","0.0","8.6"
"Bryce Oliver","TEN","3.4","38.2","0.2","0.0","0.0","0.0","0.0","8.5"
"Austin Trammell","JAC","3.4","40.1","0.2","0.0","0.0","0.0","0.0","8.3"
"Cody White","SEA","3.3","37.6","0.2","0.0","0.0","0.0","0.0","8.3"
"Dareke Young","SEA","3.3","37.7","0.2","0.0","0.0","0.0","0.0","8.3"
"David Bell","CLE","4.0","42.0","0.0","0.0","0.0","0.0","0.0","8.2"
"Miles Boykin","CHI","3.2","37.0","0.2","0.0","0.0","0.0","0.0","7.9"
"Dee Eskridge","MIA","3.0","32.8","0.2","0.0","1.7","0.0","0.0","7.7"
"Devin Duvernay","CHI","3.6","35.2","0.2","0.0","2.0","0.0","0.5","7.5"
"Brycen Tremayne","CAR","3.0","33.8","0.2","0.0","0.0","0.0","0.0","7.4"
"Scotty Miller","PIT","3.1","37.4","0.1","0.0","0.0","0.0","0.0","7.3"
"Tyler Scott","CHI","2.8","30.1","0.1","0.0","1.7","0.0","0.0","6.8"
"Britain Covey","LAR","1.8","21.0","0.1","2.2","13.7","0.1","0.0","6.6"
"Nick Nash","ATL","3.0","35.0","0.0","0.0","0.0","0.0","0.0","6.5"
"Ryan Flournoy","DAL","2.4","25.6","0.2","0.0","0.0","0.0","0.0","5.9"
"Mitchell Tinsley","CIN","2.5","28.8","0.1","0.0","0.0","0.0","0.0","5.9"
"Anthony Gould","IND","1.8","22.8","0.1","0.0","2.5","0.0","0.0","4.6"
"Tank Dell","HOU","2.0","24.0","0.0","0.0","0.0","0.0","0.0","4.4"
"Isaiah Neyor","GB","2.0","24.0","0.0","0.0","0.0","0.0","0.0","4.4"
"Trent Sherfield Sr.","DEN","1.8","20.9","0.1","0.0","0.0","0.0","0.0","4.3"
"Ashton Dulin","IND","1.7","19.5","0.1","0.0","1.7","0.0","0.0","4.3"
"Isaiah Williams","CIN","1.6","18.8","0.1","0.0","0.0","0.0","0.0","4.2"
"Steven Sims Jr.","SEA","1.7","17.0","0.1","0.0","0.0","0.0","0.0","4.0"
"Jacob Cowing","SF","1.1","14.9","0.1","0.0","8.5","0.0","0.0","3.9"
"Jimmy Horn Jr.","CAR","1.5","18.0","0.0","0.0","0.0","0.0","0.0","3.3"
"Jason Brownlee","KC","1.0","14.0","0.0","0.0","0.0","0.0","0.0","2.4"
"Braxton Berrios","HOU","1.0","10.5","0.0","0.0","2.5","0.0","0.0","2.3"
"Chris Moore","WAS","1.0","13.0","0.0","0.0","0.0","0.0","0.0","2.3"
"LaJohntay Wester","BAL","1.0","12.0","0.0","0.0","0.0","0.0","0.0","2.2"
"Ihmir Smith-Marsette","NYG","0.8","9.5","0.1","0.0","2.5","0.0","0.5","1.4"
"Xavier Smith","LAR","1.0","11.0","0.0","0.0","2.5","0.0","0.5","1.4"
"Nikko Remigio","KC","0.5","6.5","0.0","0.0","0.0","0.0","0.0","1.2"
"Trenton Irwin","JAC","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.5"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Laquon Treadwell","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"River Cracraft","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trent Taylor","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keith Kirkwood","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
