"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Amari Cooper","LV","WR99","0.0","0.0","0.0","27.3","362.1","2.1","0.0","76.2"
"Brian Robinson Jr.","SF","RB61","97.9","400.6","3.3","8.7","72.7","0.5","1.1","76.2"
"Noah Gray","KC","TE38","0.0","0.5","0.0","29.6","301.4","2.7","0.0","75.9"
"Kendre Miller","NO","RB62","92.1","359.8","3.2","10.3","76.7","0.2","0.4","73.0"
"Curtis Samuel","BUF","WR100","6.6","29.3","0.1","27.0","272.2","2.5","0.1","72.5"
"Cole Kmet","CHI","TE39","0.0","0.0","0.0","30.2","291.0","2.3","0.4","72.2"
"Allen Lazard","NYJ","WR101","0.0","0.0","0.0","25.3","327.9","2.3","0.1","71.8"
"Christian Watson","GB","WR102","4.3","17.0","0.0","19.9","366.7","2.3","0.4","71.6"
"Greg Dortch","ARI","WR103","4.8","30.6","0.1","28.0","278.7","2.1","0.4","71.3"
"Ollie Gordon II","MIA","RB63","77.6","350.3","3.0","9.6","73.8","0.4","1.1","69.9"
"Dont'e Thornton Jr.","LV","WR104","0.0","2.0","0.0","25.1","328.5","2.0","0.1","69.8"
"Raheem Mostert","LV","RB64","77.2","257.5","2.4","15.6","115.5","0.5","0.8","68.9"
"Anthony Miller","BAL","WR105","0.0","0.0","0.0","25.3","276.9","2.6","0.0","68.5"
"Blake Corum","LAR","RB65","84.2","318.0","2.1","12.7","94.0","0.3","0.4","68.0"
"Malik Washington","MIA","WR106","2.0","13.8","0.1","27.5","288.9","1.8","0.6","67.9"
"Austin Hooper","NE","TE40","0.0","0.0","0.0","28.7","286.6","1.8","0.4","67.4"
"Ty Johnson","BUF","RB66","44.9","205.3","0.9","15.2","165.3","1.4","0.1","66.4"
"Michael Mayer","LV","TE41","0.0","0.0","0.0","28.5","262.3","1.8","0.1","65.3"
"Miles Sanders","DAL","RB67","93.4","350.9","2.1","10.0","62.0","0.3","0.5","64.7"
"Van Jefferson","TEN","WR107","0.0","0.0","0.0","23.4","300.6","1.9","0.1","64.4"
"Roman Wilson","PIT","WR108","0.0","0.0","0.0","22.9","290.2","2.0","0.1","63.6"
"Devaughn Vele","NO","WR109","0.0","1.7","0.0","25.2","269.2","1.9","0.1","63.4"
"Keaton Mitchell","BAL","RB68","66.0","322.3","1.7","9.1","85.5","0.5","0.0","63.0"
"Samaje Perine","CIN","RB69","41.2","174.7","1.3","17.8","155.1","0.9","0.7","62.5"
"Harold Fannin Jr.","CLE","TE42","0.0","0.0","0.0","27.2","268.3","1.5","0.4","62.2"
"Parker Washington","JAC","WR110","0.0","8.5","0.0","24.7","261.6","1.6","0.1","61.0"
"Antonio Gibson","NE","RB70","51.4","215.4","1.0","16.4","132.7","0.5","0.0","60.1"
"JuJu Smith-Schuster","KC","WR111","0.0","0.0","0.0","23.1","255.6","1.8","0.1","59.1"
"Foster Moreau","NO","TE43","0.0","0.0","0.0","22.4","251.7","1.8","0.1","58.5"
"Tim Patrick","DET","WR112","0.0","0.0","0.0","20.5","256.5","2.0","0.1","57.8"
"Robbie Ouzts","SEA","TE44","0.0","0.0","0.0","25.0","245.9","1.5","0.5","57.8"
"Dawson Knox","BUF","TE45","0.0","0.0","0.0","21.9","238.6","1.9","0.0","57.2"
"Terrance Ferguson","LAR","TE46","0.0","0.0","0.0","23.0","235.2","1.9","0.4","57.0"
"Chris Rodriguez Jr.","WAS","RB71","70.4","318.0","2.9","4.4","33.4","0.1","0.4","56.5"
"Jaylin Noel","HOU","WR113","0.0","13.0","0.0","21.6","249.2","1.4","0.0","56.2"
"Tai Felton","MIN","WR114","0.0","3.7","0.0","20.1","241.8","1.9","0.0","55.8"
"Kenneth Gainwell","PIT","RB72","58.5","226.6","1.6","12.5","88.5","0.4","0.4","55.4"
"Jalen McMillan","TB","WR115","1.4","11.0","0.0","17.9","224.7","2.3","0.4","54.4"
"Tyler Johnson","NYJ","WR116","0.0","0.0","0.0","21.5","227.5","1.7","0.0","54.3"
"Jaleel McLaughlin","DEN","RB73","35.3","156.4","0.9","18.0","108.5","0.9","0.5","53.9"
"KaVontae Turpin","DAL","WR117","8.4","58.5","0.5","17.0","206.0","1.4","0.7","53.5"
"Jamari Thrash","CLE","WR118","0.0","0.0","0.0","21.0","251.4","1.2","0.2","53.2"
"Chimere Dike","TEN","WR119","2.1","8.9","0.0","18.4","222.9","1.6","0.1","51.2"
"Kyle Monangai","CHI","RB74","42.0","259.2","2.3","6.4","45.6","0.1","0.1","51.2"
"Zamir White","LV","RB75","56.2","231.4","1.4","10.0","71.0","0.3","0.0","50.6"
"Isaac Guerendo","SF","RB76","52.2","246.3","2.0","7.5","67.3","0.1","0.4","50.3"
"Jarquez Hunter","LAR","RB77","57.1","237.7","1.9","7.1","61.0","0.4","0.7","49.5"
"Josh Oliver","MIN","TE47","0.0","0.0","0.0","19.4","203.0","1.6","0.1","49.4"
"Luke McCaffrey","WAS","WR120","0.0","1.0","0.0","19.7","206.6","1.5","0.1","49.3"
"Trevor Etienne","CAR","RB78","47.8","191.3","1.5","10.7","86.5","0.4","0.4","49.0"
"Tahj Brooks","CIN","RB79","48.8","212.9","1.6","9.2","73.3","0.5","0.7","48.8"
"Devin Singletary","NYG","RB80","52.1","236.2","1.5","9.4","63.5","0.1","0.4","48.6"
"Jermaine Burton","CIN","WR121","0.0","2.0","0.0","15.8","205.9","2.0","0.1","48.2"
"Oronde Gadsden II","LAC","TE48","0.0","0.0","0.0","19.1","195.2","1.6","0.1","47.9"
"Demarcus Robinson","SF","WR122","0.0","0.8","0.0","13.9","217.8","1.9","0.0","47.3"
"Tommy Tremble","CAR","TE49","0.0","0.0","0.0","19.2","184.1","1.7","0.4","47.0"
"Gunnar Helm","TEN","TE50","0.0","0.0","0.0","20.2","200.8","1.1","0.4","46.3"
"Luke Musgrave","GB","TE51","0.0","0.0","0.0","19.1","186.4","1.4","0.0","46.2"
"Will Shipley","PHI","RB81","37.4","205.2","1.3","8.3","61.8","0.4","0.1","45.1"
"Khalil Herbert","IND","RB82","60.4","215.4","1.6","7.7","43.8","0.2","0.0","44.2"
"Emanuel Wilson","GB","RB83","32.7","178.0","1.3","9.2","67.2","0.6","0.5","43.6"
"Elijah Mitchell","KC","RB84","60.5","203.8","1.6","7.2","40.6","0.4","0.1","43.5"
"Devin Neal","NO","RB85","39.1","205.0","1.3","7.2","53.1","0.4","0.1","43.2"
"Kendrick Bourne","NE","WR123","1.1","6.8","0.0","16.9","195.1","1.0","0.0","43.1"
"Zay Jones","ARI","WR124","0.0","2.0","0.0","16.8","179.9","1.3","0.1","42.5"
"Skyy Moore","SF","WR125","0.0","0.0","0.0","15.5","185.2","1.4","0.0","42.3"
"Ben Sinnott","WAS","TE52","0.0","0.0","0.0","16.8","166.7","1.4","0.1","41.8"
"Brock Wright","DET","TE53","0.0","0.0","0.0","15.0","134.8","2.2","0.0","41.4"
"Sean Tucker","TB","RB86","44.8","231.3","1.4","5.2","40.2","0.3","0.7","41.3"
"Cade Stover","HOU","TE54","0.0","0.0","0.0","16.9","160.6","1.2","0.0","40.2"
"Jahan Dotson","PHI","WR126","0.0","1.7","0.0","14.6","176.4","1.3","0.0","40.1"
"A.T. Perry","DEN","WR127","0.0","0.0","0.0","13.5","176.5","1.4","0.0","39.7"
"Jeremy Ruckert","NYJ","TE55","0.0","0.0","0.0","17.6","152.2","1.2","0.0","39.7"
"Kalif Raymond","DET","WR128","0.0","4.0","0.0","14.7","184.2","1.2","0.6","39.4"
"DJ Giddens","IND","RB87","23.6","163.2","1.3","7.6","56.4","0.1","0.0","37.9"
