Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST
298,Jahdae Walker (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
299,Gage Larvadain (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
300,Taylor Morin (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
301,Darius Cooper (PHI),0,0,0,0,0,0,0,0,0,0,0,0,2.9%
302,Kisean Johnson (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
303,Jimmy Holiday (KC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
304,Jordan Watkins (SF),0,0,0,0,0,0,0,0,0,0,0,0,0.7%
305,Jaylin Noel (HOU),0,0,0,0,0,0,0,0,0,0,0,0,4.6%
306,TJ Moore (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
307,Savion Williams (GB),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
308,Tez Johnson (TB),0,0,0,0,0,0,0,0,0,0,0,0,0.9%
309,Tai Felton (MIN),0,0,0,0,0,0,0,0,0,0,0,0,1.4%
310,Ricky White III (SEA),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
311,Pat Bryant (DEN),0,0,0,0,0,0,0,0,0,0,0,0,7.9%
312,Antwane Wells Jr. (NYG),0,0,0,0,0,0,0,0,0,0,0,0,1.1%
313,Jack Bech (LV),0,0,0,0,0,0,0,0,0,0,0,0,18.2%
314,Will Sheppard (GB),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
315,Nick Nash (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0.6%
316,Dont'e Thornton Jr. (LV),0,0,0,0,0,0,0,0,0,0,0,0,13.5%
317,Jimmy Horn Jr. (CAR),0,0,0,0,0,0,0,0,0,0,0,0,1.1%
318,Chimere Dike (TEN),0,0,0,0,0,0,0,0,0,0,0,0,1.2%
319,Jaylin Lane (WAS),0,0,0,0,0,0,0,0,0,0,0,0,2.0%
320,Traeshin Holden (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
321,Konata Mumpfield (LAR),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
322,Jacksin Meeks (DET),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
323,Jamaal Pritchett (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
324,Isaac TeSlaa (DET),0,0,0,0,0,0,0,0,0,0,0,0,9.5%
325,LaJohntay Wester (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0.7%
326,Efton Chism III (NE),0,0,0,0,0,0,0,0,0,0,0,0,2.2%
327,Jacoby Jones (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
328,A.T. Perry (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1.6%
329,Jalen Virgil (FA),0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
330,Montrell Washington (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
331,Dareke Young (SEA),0,1,0,0,0,0,0,0,0,12,0.0,0.0,0.0%
332,Mitchell Tinsley (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0.9%
