Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value,Is Rookie,Data Status
253,Zay Jones,ARI,WR,86,8,170.0,59.7,,No,Partial Data
254,KhaDarel Hodge,ATL,WR,87,5,170.0,51.28,,No,Partial Data
255,Kendrick Bourne,NE,WR,88,14,170.0,42.8,,No,Partial Data
256,Jamari Thrash,CLE,WR,89,9,170.0,47.48,,No,Partial Data
257,Arian Smith,NYJ,WR,90,9,170.0,41.84,,No,Partial Data
258,Tai Felton,MIN,WR,91,6,170.0,29.32,,No,Partial Data
259,Elijah Moore,BUF,WR,92,7,170.0,64.08,1,No,Complete
260,Mack Hollins,NE,WR,93,14,170.0,29.88,,No,Partial Data
180,Curtis Samuel,BUF,WR,61,7,169.9,53.35,,No,Partial Data
181,JuJu Smith-Schuster,KC,WR,62,10,169.9,39.64,,No,Partial Data
403,Marquez Valdes-Scantling,SEA,WR,162,8,170.1,44.87,,No,Partial Data
261,Diontae Johnson,CLE,WR,94,9,170.0,99.64,1,No,Complete
262,Cedrick Wilson Jr.,NO,WR,95,11,170.0,28.66,,No,Partial Data
263,Chimere Dike,TEN,WR,96,10,170.0,82.38,,No,Partial Data
264,Nick Westbrook-Ikhine,MIA,WR,97,12,170.0,75.67,1,No,Complete
265,KeAndre Lambert-Smith,LAC,WR,98,12,170.0,15.72,,No,Partial Data
404,Pierre Strong Jr.,CLE,RB,105,9,170.1,24.2,,No,Partial Data
266,Jaylin Lane,WAS,WR,99,12,170.0,37.47,,No,Partial Data
267,Sincere McCormick,LV,RB,66,8,170.0,33.72,,No,Partial Data
182,Jalin Hyatt,NYG,WR,63,14,169.9,66.81,,No,Partial Data
268,Jermaine Burton,CIN,WR,100,10,170.0,53.12,,No,Partial Data
269,Tyrod Taylor,NYJ,QB,32,9,170.0,23.41,,No,Partial Data
270,Kalif Raymond,DET,WR,101,8,170.0,29.85,,No,Partial Data
271,Christian Watson,GB,WR,102,5,170.0,38.57,,No,Partial Data
183,Joe Milton III,DAL,QB,20,10,169.9,55.78,,No,Partial Data
272,Kayshon Boutte,NE,WR,103,14,170.0,28.9,,No,Partial Data
273,Kalel Mullings,TEN,RB,67,10,170.0,51.33,,No,Partial Data
416,Greg Dortch,ARI,WR,166,8,170.2,65.76,,No,Partial Data
417,Van Jefferson,TEN,WR,167,10,170.2,62.35,,No,Partial Data
405,Tyler Goodson,IND,RB,106,11,170.1,4.85,,No,Partial Data
274,K.J. Osborn,WAS,WR,104,12,170.0,23.02,,No,Partial Data
275,Damien Martinez,SEA,RB,68,8,170.0,59.89,,No,Partial Data
276,Kimani Vidal,LAC,RB,69,12,170.0,27.08,,No,Partial Data
406,Emari Demercado,ARI,RB,107,8,170.1,45.47,,No,Partial Data
277,Ty Chandler,MIN,RB,70,6,170.0,13.42,,No,Partial Data
278,Carlos Washington Jr.,ATL,RB,71,5,170.0,21.56,,No,Partial Data
279,Jacob Cowing,SF,WR,105,14,170.0,14.45,,No,Partial Data
280,Jonathan Mingo,DAL,WR,106,10,170.0,47.53,,No,Partial Data
184,Noah Gray,KC,TE,24,10,169.9,69.07,1,No,Complete
160,Taysom Hill,NO,TE,19,11,169.8,46.53,,No,Partial Data
