Player,Team,POS,ATT,YDS,TDS,REC,FL,FPTS
Jalen Royals,KC,WR133,0.0,156.2,1.2,12.9,0.0,35.7
Adam Trautman,DEN,TE56,0.0,141.2,1.4,13.0,0.0,35.5
Luke Schoonmaker,DAL,TE57,0.0,132.7,1.2,14.9,0.0,35.1
Charlie Woerner,ATL,TE58,0.0,139.0,1.1,14.6,0.0,34.9
Kyle Juszczyk,SF,RB89,5.4,125.0,0.7,13.1,0.4,33.7
Russell Gage Jr.,SF,WR134,0.0,145.4,1.0,13.0,0.0,33.6
Jalin Hyatt,NYG,WR135,0.0,160.6,0.8,12.1,0.0,33.2
Daniel Bellinger,NYG,TE59,0.0,135.2,0.8,14.7,0.0,33.1
Isaac TeSlaa,DET,WR136,0.0,155.2,1.1,10.7,0.0,33.0
Julian Hill,MIA,TE60,0.0,133.7,0.9,14.7,0.4,32.9
Casey Washington,ATL,WR137,0.0,135.6,1.0,11.3,0.0,30.9
Grant Calcaterra,PHI,TE61,0.0,136.4,0.9,12.1,0.0,30.8
Jake Briningstool,KC,TE62,0.0,121.0,1.0,12.0,0.0,30.1
Johnny Mundt,JAC,TE63,0.0,115.2,0.8,13.4,0.0,30.0
Jake Bobo,SEA,WR138,0.0,132.6,0.9,11.5,0.0,29.8
Isaiah Davis,NYJ,RB90,30.7,35.7,0.1,4.9,0.0,29.4
Payne Durham,TB,TE64,0.0,109.3,1.2,11.1,0.0,29.4
Jaylin Lane,WAS,WR139,2.2,120.3,0.8,10.4,0.1,29.2
Arian Smith,NYJ,WR140,0.0,134.3,0.7,11.2,0.0,29.0
Darnell Washington,PIT,TE65,0.0,123.3,0.7,12.3,0.0,28.9
Elijah Higgins,ARI,TE66,0.0,110.3,1.1,11.4,0.0,28.8
Kimani Vidal,LAC,RB91,24.9,48.3,0.3,6.4,0.0,28.6
Brashard Smith,KC,RB92,9.9,61.7,0.5,8.3,0.0,28.1
Chris Brooks,GB,RB93,30.9,32.1,0.0,5.0,0.0,27.9
Emari Demercado,ARI,RB94,18.7,54.1,0.1,8.1,0.0,27.2
Zavier Scott,MIN,WR141,32.0,29.0,0.0,3.0,0.0,27.2
